Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,CLASE,MARCA,LINEA,MODELO,COLOR,Cantidad
01/01/2018,ANTIOQUIA,EL CARMEN DE VIBORAL,Lunes,0:00:00,AURORA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5148000,AUTOMOVIL,RENAULT,LINEA STANDARD,2010,NEGRO,1
01/01/2018,ATLÁNTICO,SOLEDAD,Lunes,8:00:00,CACHIMBERO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,CONDUCTOR TAXI,CONDUCTOR VEHICULO,55,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,INGENIERÍA CIVIL,SUPERIOR,8758000,RETROEXCAVADORA,CATERPILLAR,420D,2013,AMARILLO,1
01/01/2018,CAUCA,POPAYÁN (CT),Lunes,7:15:00,VILLA DEL NORTE,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,54,MASCULINO,SEPARADO,COLOMBIA,INDEPENDIENTE,-,SUPERIOR,19001000,AUTOMOVIL,CHEVROLET,SWITF TAXI,1997,BLANCO,1
01/01/2018,CESAR,VALLEDUPAR (CT),Lunes,15:00:00,LA VEGA,RURAL,CARRETERA,LLAVE MAESTRA,A PIE,A PIE,39,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,20001000,CAMIONETA,HYUNDAI,H1,2013,ROJO,1
01/01/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,0:00:00,ALAMEDA E-6,OTRAS,-,SIN EMPLEO DE ARMAS,A PIE,A PIE,31,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,AUTOMOVIL,CHEVROLET,LINEA STANDARD,2001,ROJO,1
01/01/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,0:00:00,URB. RIONEGRO E-12,URBANA,OTRO,NO REPORTADO,A PIE,A PIE,35,MASCULINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,11001000,VEHICULO-PANEL,CHEVROLET,LINEA STANDARD,,NEGRO,1
01/01/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,10:00:00,BACHUE E-10,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,61,FEMENINO,SOLTERO,COLOMBIA,PENSIONADO,DERECHO,SUPERIOR,11001000,AUTOMOVIL,RENAULT,-,1974,AZUL,1
01/01/2018,TOLIMA,CHAPARRAL,Lunes,0:15:00,VERSALLES,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,58,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,73168000,AUTOMOVIL,RENAULT,STEPWAY,2015,ROJO,1
01/01/2018,VALLE,CALI (CT),Lunes,9:00:00,JORGE ELIECER GAITAN E6,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,A PIE,A PIE,34,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,76001000,AUTOMOVIL,CHEVROLET,SPRINT,1994,VERDE,1
01/01/2018,VALLE,CALI (CT),Lunes,7:00:00,LA NUEVA BASE E8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,59,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,76001000,AUTOMOVIL,CHEVROLET,SWIFT,1994,PLATEADO,1
