"","Fecha","Departamento","Municipio","Día","Hora","Barrio","Zona","Clase.de.sitio","Arma.empleada","Móvil.Agresor","Móvil.Victima","Edad","Sexo","Estado.civil","País.de.nacimiento","Clase.de.empleado","Profesión","Escolaridad","CLASE","MARCA","LINEA","MODELO","COLOR","Mes","Dia.Mes","Hora.dia"
"1",2018-01-01,"ANTIOQUIA","EL CARMEN DE VIBORAL","Lunes","0:00:00","AURORA","URBANA","VIAS PUBLICAS","SIN EMPLEO DE ARMAS","A PIE","A PIE",25,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","PRIMARIA","AUTOMOVIL","RENAULT","LINEA STANDARD",2010,"NEGRO",1,1,0
"2",2018-01-01,"ATLÁNTICO","SOLEDAD","Lunes","8:00:00","CACHIMBERO","URBANA","VIAS PUBLICAS","SIN EMPLEO DE ARMAS","CONDUCTOR TAXI","CONDUCTOR VEHICULO",55,"MASCULINO","CASADO","COLOMBIA","EMPLEADO PARTICULAR","INGENIERÍA CIVIL","SUPERIOR","RETROEXCAVADORA","CATERPILLAR","420D",2013,"AMARILLO",1,1,8
"3",2018-01-01,"CAUCA","POPAYÁN (CT)","Lunes","7:15:00","VILLA DEL NORTE","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",54,"MASCULINO","SEPARADO","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","SUPERIOR","AUTOMOVIL","CHEVROLET","SWITF TAXI",1997,"BLANCO",1,1,7
"4",2018-01-01,"CESAR","VALLEDUPAR (CT)","Lunes","15:00:00","LA VEGA","RURAL","CARRETERA","LLAVE MAESTRA","A PIE","A PIE",39,"MASCULINO","UNION LIBRE","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SECUNDARIA","CAMIONETA","HYUNDAI","H1",2013,"ROJO",1,1,15
"5",2018-01-01,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Lunes","0:00:00","ALAMEDA E-6","OTRAS","DESCONOCIDA","SIN EMPLEO DE ARMAS","A PIE","A PIE",31,"MASCULINO","CASADO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","CHEVROLET","LINEA STANDARD",2001,"ROJO",1,1,0
"7",2018-01-01,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Lunes","10:00:00","BACHUE E-10","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",61,"FEMENINO","SOLTERO","COLOMBIA","PENSIONADO","DERECHO","SUPERIOR","AUTOMOVIL","RENAULT","DESCONOCIDA",1974,"AZUL",1,1,10
"8",2018-01-01,"TOLIMA","CHAPARRAL","Lunes","0:15:00","VERSALLES","URBANA","VIAS PUBLICAS","SIN EMPLEO DE ARMAS","A PIE","A PIE",58,"MASCULINO","CASADO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","PRIMARIA","AUTOMOVIL","RENAULT","STEPWAY",2015,"ROJO",1,1,0
"9",2018-01-01,"VALLE","CALI (CT)","Lunes","9:00:00","JORGE ELIECER GAITAN E6","URBANA","FRENTE A RESIDENCIAS - VIA PUBLICA","LLAVE MAESTRA","A PIE","A PIE",34,"FEMENINO","UNION LIBRE","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","PRIMARIA","AUTOMOVIL","CHEVROLET","SPRINT",1994,"VERDE",1,1,9
"10",2018-01-01,"VALLE","CALI (CT)","Lunes","7:00:00","LA NUEVA BASE E8","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",59,"MASCULINO","UNION LIBRE","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","CHEVROLET","SWIFT",1994,"PLATEADO",1,1,7
"11",2018-01-02,"ANTIOQUIA","MEDELLÍN (CT)","Martes","12:45:00","LA AGUACATALA C-14","URBANA","EMPRESA","SIN EMPLEO DE ARMAS","A PIE","A PIE",26,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","LICENCIADO","SUPERIOR","AUTOMOVIL","NISSAN","MARCH",2017,"BLANCO",1,2,12
"12",2018-01-02,"ATLÁNTICO","BARRANQUILLA (CT)","Martes","21:30:00","CARLOS MEISEL","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","A PIE","CONDUCTOR VEHICULO",36,"FEMENINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SUPERIOR","AUTOMOVIL","RENAULT","LOGAN",2014,"GRIS",1,2,21
"13",2018-01-02,"CAUCA","POPAYÁN (CT)","Martes","10:00:00","VERSALLES","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",39,"MASCULINO","CASADO","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","PRIMARIA","CAMPERO","MITSUBISHI","MONTERO V 12 VNDL",1995,"AZUL",1,2,10
"14",2018-01-02,"CESAR","VALLEDUPAR (CT)","Martes","0:00:00","BELLA VISTA","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",41,"MASCULINO","UNION LIBRE","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","MAZDA","ALLEGRO",1995,"ESTRATO DE PERLA",1,2,0
"15",2018-01-02,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Martes","0:00:00","VILLA MARIA I E-11","URBANA","VIAS PUBLICAS","SIN EMPLEO DE ARMAS","A PIE","A PIE",25,"MASCULINO","SOLTERO","DESCONOCIDO","EMPLEADO PARTICULAR","DESCONOCIDO","PRIMARIA","VEHICULO-PANEL","MAZDA","B 2200",2010,"BLANCO",1,2,0
"16",2018-01-02,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Martes","21:30:00","ESTRELLA DEL NORTE E-1","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","CONDUCTOR VEHICULO","A PIE",65,"MASCULINO","CASADO","COLOMBIA","INDEPENDIENTE","CONTADURIA PUBLICA","SUPERIOR","CAMIONETA","CHEVROLET","LUV-TFR",1995,"AZUL",1,2,21
"17",2018-01-02,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Martes","13:00:00","LA ESTANZUELA E-14","URBANA","PARQUEADERO","LLAVE MAESTRA","A PIE","A PIE",38,"MASCULINO","UNION LIBRE","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SUPERIOR","CAMIONETA","HYUNDAI","TUCSON iX35 GLS",2012,"BLANCO",1,2,13
"18",2018-01-02,"VALLE","PALMIRA","Martes","19:30:00","CGTO ROZO","RURAL","PISCINA","LLAVE MAESTRA","A PIE","A PIE",47,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","KIA","SPORTAGE",2016,"GRIS",1,2,19
"20",2018-01-03,"ANTIOQUIA","MEDELLÍN (CT)","Miércoles","8:30:00","DOCE DE OCTUBRE C-6","URBANA","FRENTE A RESIDENCIAS - VIA PUBLICA","LLAVE MAESTRA","A PIE","A PIE",43,"MASCULINO","SOLTERO","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","PRIMARIA","AUTOMOVIL","CHEVROLET","SWIFT",1992,"ROJO",1,3,8
"21",2018-01-03,"ANTIOQUIA","MEDELLÍN (CT)","Miércoles","22:20:00","LA MANSION C-8","URBANA","VIAS PUBLICAS","CONTUNDENTES","PASAJERO TAXI","CONDUCTOR TAXI",55,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SECUNDARIA","TAXI","HYUNDAI","ATOS PRIME",2011,"AMARILLO",1,3,22
"22",2018-01-03,"ANTIOQUIA","MEDELLÍN (CT)","Miércoles","15:40:00","FATIMA C-16","URBANA","FRENTE A EDIFICIO - VIA PUBLICA","ARMA DE FUEGO","A PIE","A PIE",33,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","MAZDA","MAZDA2",2014,"BLANCO",1,3,15
"23",2018-01-03,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Miércoles","10:00:00","BOSA E-7","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",43,"MASCULINO","SOLTERO","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","CHEVROLET","AVEO",2013,"GRIS",1,3,10
"24",2018-01-03,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Miércoles","17:00:00","LOS CEDRITOS E-1","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",63,"MASCULINO","CASADO","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","PRIMARIA","AUTOMOVIL","FORD","FIESTA",2013,"ROJO",1,3,17
"25",2018-01-03,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Miércoles","23:00:00","GALAN E-16","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","A PIE","CONDUCTOR VEHICULO",57,"MASCULINO","UNION LIBRE","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","NISSAN","MARCH",2017,"GRIS",1,3,23
"26",2018-01-03,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Miércoles","14:00:00","SAN FERNANDO E-12","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",40,"MASCULINO","SOLTERO","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","MAZDA","LINEA STANDARD",2013,"BLANCO",1,3,14
"27",2018-01-03,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Miércoles","21:30:00","EL CHARCO II E-9","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",46,"MASCULINO","CASADO","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","HYUNDAI","I10GL",2012,"BLANCO",1,3,21
